major,population
Agriculture_Specials,11
Agriculture_Certificate_(Non-Degree),
Agricultural_and_Life_Sciences_Education,17
Agricultural_Biochemistry,2
Agricultural_Business,51
Agricultural_Studies,39
Agricultural_Systems_Technology,21
Agriculture_and_Life_Sciences_Exploration,6
Agriculture_and_Society,2
Agronomy,32
Animal_Ecology,37
Animal_Science,97
Biology_(AGLS),29
Culinary_Science_-_Agriculture,1
Dairy_Science,4
Dietetics_(AGLS),1
Environmental_Science_(AGLS),9
Food_Science_(AGLS),8
Forestry,8
General_Preveterinary_Medicine,9
Genetics_(AGLS),7
Global_Resource_Systems,7
Horticulture,12
Industrial_Technology,26
Insect_Science,
Microbiology,12
Nutritional_Science_(AGLS),1
Pre-Diet_and_Exercise_(AGLS),
Pre-Dietetics_(AGLS),1
Public_Service_and_Administration_in_Agriculture,1
