major,population
Design Certificate (Non-Degree),
Design Specials (Non-Degree),
Architecture-Professional Degree,30
Art and Design (Bachelor of Arts),1
Community and Regional Planning,6
Design,8
Design Undeclared,7
Graphic Design,22
Industrial Design,16
Integrated Studio Arts,8
Interior Design,17
Landscape Architecture,12
Pre-Architecture,19
Pre-Community and Regional Planning,1
Pre-Graphic Design,10
Pre-Industrial Design,5
Pre-Integrated Studio Arts,
Pre-Interior Design,4
Pre-Landscape Architecture,1
