major,population
Human Sciences Special (Non-Degree),3
Apparel,48
Athletic Training,6
Child & Family Services,38
Culinary Science - Human Sciences,3
Dietetics (H SCI),13
Early Childhood Education,13
Elementary Education,76
Event Management,36
Family and Consumer Science Education and Studies,9
Financial Counseling and Planning,3
Food Science (H SCI),5
Hospitality Management,15
Human Sciences,4
Kinesiology and Health,120
Nutritional Science (H SCI),8
Pre-Athletic Training,7
Pre-Diet and Exercise (H SCI),3
Pre-Dietetics (H SCI),10
Pre-Early Childcare Education and Programming,1
