major,population
Intensive English and Orientation Program LAS,6
Liberal Arts and Sciences Specials (Non-Degree),24
Advertising,22
Anthropology,5
Biochemistry,14
Bioinformatics and Computational Biology,1
Biological/Pre-Medical Illustration,1
Biology,41
Biophysics,
Chemistry,15
Communication Studies,21
Computer Science,25
Earth Science,1
Economics,9
English,25
Environmental Science (LAS),6
Genetics (LAS),11
Geology,5
History,24
Interdisciplinary Studies,37
Journalism and Mass Communication,32
Liberal Arts and Sciences- Open Option,
Liberal Studies,11
Linguistics,6
Mathematics,19
Meteorology,9
Music,10
Open Option (LAS),90
Performing Arts,4
Philosophy,3
Physics,9
Political Science,21
Pre-Biological/Pre-Medical Illustration,5
Pre-Computer Science,31
Pre-Liberal Studies,5
Preparation For Human Medicine,7
Preparation For Law,1
Preprofessional Health Programs,4
Psychology,71
Public Relations,23
Religious Studies,1
Sociology,7
Software Engineering,22
Speech Communication,2
Statistics,8
Technical Communication,2
Women's Studies,1
World Languages and Cultures,7
